"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2017","93.21","92.80","93.27","92.76","21.74K","0.41"
"Nov 27, 2017","92.83","92.67","92.86","92.43","22.70K","0.13"
"Nov 24, 2017","92.71","93.11","93.17","92.61","17.46K","-0.46"
"Nov 23, 2017","93.14","93.19","93.21","93.00","9.96K","0.00"
"Nov 22, 2017","93.14","93.86","93.88","93.12","24.89K","-0.79"
"Nov 21, 2017","93.88","93.94","94.08","93.80","11.70K","-0.13"
"Nov 20, 2017","94.00","93.73","94.02","93.48","19.68K","0.45"
"Nov 17, 2017","93.58","93.72","93.84","93.42","16.91K","-0.29"
"Nov 16, 2017","93.85","93.78","93.92","93.69","12.19K","0.13"
"Nov 15, 2017","93.73","93.77","93.80","93.31","25.25K","0.01"
"Nov 14, 2017","93.72","94.41","94.44","93.64","27.44K","-0.71"
"Nov 13, 2017","94.39","94.36","94.55","94.31","10.71K","0.12"
"Nov 10, 2017","94.28","94.36","94.56","94.16","14.65K","-0.07"
"Nov 09, 2017","94.35","94.85","94.86","94.31","22.01K","-0.44"
"Nov 08, 2017","94.77","94.77","94.86","94.68","11.41K","-0.03"
"Nov 07, 2017","94.80","94.63","95.07","94.60","23.73K","0.15"
"Nov 06, 2017","94.66","94.83","95.00","94.61","17.71K","-0.21"
"Nov 03, 2017","94.86","94.61","94.92","94.11","24.48K","0.29"
"Nov 02, 2017","94.59","94.67","94.69","94.31","17.09K","-0.13"
"Nov 01, 2017","94.71","94.42","94.75","94.40","16.62K","0.30"
"Oct 31, 2017","94.43","94.36","94.60","94.35","18.90K","-0.02"
"Oct 30, 2017","94.45","94.77","94.83","94.33","22.35K","-0.39"
"Oct 27, 2017","94.82","94.66","95.06","94.63","36.50K","0.33"
"Oct 26, 2017","94.51","93.50","94.61","93.36","44.61K","0.99"
"Oct 25, 2017","93.58","93.83","93.89","93.47","24.51K","-0.09"
"Oct 24, 2017","93.66","93.69","93.87","93.56","18.54K","-0.16"
